#time,accel_x,accel_y,accel_z
11241.634891,296.082377,-592.164754,-79061.055394
11241.637508,5033.400406,-1036.288319,-77835.302597
11241.640126,-2960.823768,-2072.576638,-76915.987999
11241.642744,-2516.700203,444.123565,-77988.521696
11241.645362,3256.906145,2960.823768,-77528.864398
11241.647979,3108.864956,-4737.318029,-77222.426198
11241.650597,-4589.276840,-888.247130,-76609.549800
11241.653215,2664.741391,-2664.741391,-78294.959896
11241.655833,2516.700203,-1480.411884,-75843.454302
11241.658450,-4145.153275,-5773.606348,-76609.549800
11241.661068,6365.771101,-6957.935855,-79061.055394
11241.663686,7105.977043,-888.247130,-75690.235202
11241.666303,-1036.288319,-2812.782580,-78294.959896
11241.668921,1184.329507,-1036.288319,-78601.398095
11241.671539,4885.359217,-4885.359217,-78448.178995
11241.674157,-1776.494261,-1628.453072,-75690.235202
11241.676774,2812.782580,-5181.441594,-78754.617194
11241.679392,5625.565159,-6513.812290,-77682.083497
11241.682010,-2960.823768,-1776.494261,-77682.083497
11241.684628,-2072.576638,5181.441594,-79061.055394
11241.687245,888.247130,-888.247130,-78141.740796
11241.689863,-10066.800811,3849.070898,-76915.987999
11241.692481,-7698.141797,4293.194464,-78294.959896
11241.695099,3256.906145,1036.288319,-79520.712692
11241.697716,1924.535449,1332.370696,-76762.768900
11241.700334,-6365.771101,-2220.617826,-77375.645298
11241.702952,148.041188,-3701.029710,-79673.931792
11241.705569,-2072.576638,-148.041188,-75843.454302
11241.708187,-6069.688724,3256.906145,-76609.549800
11241.710805,4885.359217,2220.617826,-79214.274493
11241.713423,-2368.659014,-592.164754,-77988.521696
11241.716040,-5181.441594,2812.782580,-75230.577904
11241.718658,-592.164754,-148.041188,-78601.398095
11241.721276,2368.659014,-2368.659014,-76609.549800
11241.723745,-4737.318029,-592.164754,-75690.235202
11241.726215,296.082377,-4441.235652,-78448.178995
11241.728684,3997.112087,4589.276840,-76456.330700
11241.731153,-6809.894666,1628.453072,-75230.577904
11241.733622,-3552.988522,4737.318029,-78448.178995
11241.736092,1776.494261,-740.205942,-77069.207099
11241.738561,-9474.636058,740.205942,-77222.426198
11241.741030,-6809.894666,3404.947333,-77528.864398
11241.743500,148.041188,-296.082377,-80133.589091
11241.745969,-3404.947333,1776.494261,-75230.577904
11241.748438,-1776.494261,1924.535449,-78294.959896
11241.750908,5477.523971,-3256.906145,-79367.493593
11241.753377,-4589.276840,3256.906145,-76456.330700
11241.755846,-10807.006753,3108.864956,-79061.055394
11241.758315,4737.318029,6957.935855,-77528.864398
11241.760785,9622.677246,-4737.318029,-78141.740796
11241.763254,-7105.977043,-1924.535449,-75537.016103
11241.765723,8142.265362,-148.041188,-77682.083497
11241.768193,1184.329507,-3997.112087,-77682.083497
11241.770662,-7994.224174,-1332.370696,-77222.426198
11241.773131,-4737.318029,296.082377,-79980.369991
11241.775601,5625.565159,-5181.441594,-79061.055394
11241.778070,6513.812290,-2368.659014,-77375.645298
11241.780539,-3552.988522,-1480.411884,-78448.178995
11241.783008,5329.482782,-7254.018232,-79214.274493
11241.785478,5477.523971,-6217.729913,-77835.302597
11241.787947,-4145.153275,-7550.100608,-75077.358804
11241.790416,4441.235652,888.247130,-77682.083497
11241.792886,3701.029710,-5625.565159,-77069.207099
11241.795355,-2368.659014,-592.164754,-76609.549800
11241.797824,4737.318029,-2664.741391,-78907.836294
11241.800294,-444.123565,-1036.288319,-76303.111601
11241.802763,0.000000,-4293.194464,-76762.768900
11241.805232,-4885.359217,-7550.100608,-79673.931792
11241.807702,7254.018232,-6661.853478,-77069.207099
11241.810171,-1776.494261,-2812.782580,-76915.987999
11241.812640,-2072.576638,1628.453072,-79367.493593
11241.815109,7402.059420,-4589.276840,-80440.027290
11241.817579,-3997.112087,0.000000,-75230.577904
11241.820048,444.123565,-296.082377,-76762.768900
11241.822568,7254.018232,-4145.153275,-79367.493593
11241.825087,-3701.029710,-6069.688724,-77222.426198
11241.827607,-3849.070898,-8290.306550,-77069.207099
11241.830126,9622.677246,-3404.947333,-77528.864398
11241.832646,8142.265362,-5921.647536,-76915.987999
11241.835165,2664.741391,-444.123565,-76303.111601
11241.837685,5329.482782,-4145.153275,-79520.712692
11241.840205,1776.494261,3404.947333,-75537.016103
11241.842724,-3997.112087,-444.123565,-77682.083497
11241.845244,7994.224174,-4885.359217,-79367.493593
11241.847763,6957.935855,-5773.606348,-75077.358804
11241.850283,-4293.194464,-5477.523971,-77528.864398
11241.852802,2516.700203,-2812.782580,-79061.055394
11241.855322,2072.576638,-6809.894666,-79367.493593
11241.857841,-10658.965565,-1776.494261,-75690.235202
11241.860361,2368.659014,3404.947333,-79214.274493
11241.862881,6217.729913,-2368.659014,-77988.521696
11241.865400,-7105.977043,7402.059420,-76762.768900
11241.867920,-5625.565159,1036.288319,-78448.178995
11241.870439,3108.864956,-740.205942,-76915.987999
11241.872959,888.247130,888.247130,-78448.178995
11241.875478,-5625.565159,-148.041188,-77069.207099
11241.877998,6957.935855,592.164754,-79520.712692
