#time,accel_x,accel_y,accel_z
12159.862496,1036.288319,-4589.276840,-77222.426198
12159.865054,-1628.453072,4441.235652,-76456.330700
12159.867612,2664.741391,-4293.194464,-79367.493593
12159.870171,0.000000,-1924.535449,-78448.178995
12159.872729,-740.205942,1184.329507,-78294.959896
12159.875287,0.000000,-888.247130,-78907.836294
12159.877845,5625.565159,2220.617826,-76456.330700
12159.880404,-1776.494261,-1628.453072,-77375.645298
12159.882962,3256.906145,2368.659014,-77375.645298
12159.885520,2812.782580,-1480.411884,-78907.836294
12159.888079,-2960.823768,7550.100608,-76456.330700
12159.890637,4737.318029,888.247130,-77375.645298
12159.893195,7698.141797,4145.153275,-77682.083497
12159.895753,5181.441594,5181.441594,-79214.274493
12159.898312,15692.365970,2368.659014,-77682.083497
12159.900870,8586.388927,-296.082377,-79980.369991
12159.903428,-8290.306550,1628.453072,-77835.302597
12159.905987,-12139.377449,-2220.617826,-76456.330700
12159.908545,-2812.782580,-6069.688724,-77222.426198
12159.911103,-5033.400406,-2368.659014,-77222.426198
12159.913661,6217.729913,-3108.864956,-78448.178995
12159.916220,5625.565159,-3701.029710,-78601.398095
12159.918778,-6661.853478,-5033.400406,-76915.987999
12159.921336,-12731.542202,2960.823768,-75843.454302
12159.923895,-6365.771101,-5773.606348,-79061.055394
12159.926453,296.082377,-2516.700203,-78601.398095
12159.929011,1184.329507,1332.370696,-77835.302597
12159.931569,5181.441594,-4737.318029,-76762.768900
12159.934128,-10214.842000,-4589.276840,-76762.768900
12159.936686,-6661.853478,-3997.112087,-76609.549800
12159.939247,592.164754,-5181.441594,-77682.083497
12159.941808,1924.535449,-1184.329507,-77222.426198
12159.944369,-2220.617826,0.000000,-78141.740796
12159.946931,444.123565,-2664.741391,-78907.836294
12159.949492,-1480.411884,-5921.647536,-78448.178995
12159.952053,-4293.194464,1480.411884,-77988.521696
12159.954614,3404.947333,-6069.688724,-78601.398095
12159.957175,1924.535449,-2072.576638,-77682.083497
12159.959736,-6661.853478,-4441.235652,-77682.083497
12159.962298,740.205942,-9030.512492,-77069.207099
12159.964859,-5181.441594,-4737.318029,-78448.178995
12159.967420,-6217.729913,1924.535449,-77069.207099
12159.969981,1776.494261,-1036.288319,-78448.178995
12159.972542,1776.494261,-3108.864956,-78601.398095
12159.975103,-5329.482782,-148.041188,-76456.330700
12159.977665,-2664.741391,-1332.370696,-78448.178995
12159.980226,-2220.617826,-6809.894666,-78907.836294
12159.982787,-9770.718434,-2664.741391,-78294.959896
12159.985348,3701.029710,-7254.018232,-77375.645298
12159.987909,8882.471304,-4737.318029,-77528.864398
12159.990470,1036.288319,888.247130,-76609.549800
12159.993032,-444.123565,3849.070898,-77069.207099
12159.995593,5033.400406,2220.617826,-77835.302597
12159.998154,-4589.276840,4737.318029,-75690.235202
12160.000715,-3552.988522,1776.494261,-77682.083497
12160.003276,1332.370696,-5329.482782,-78294.959896
12160.005837,3997.112087,-2368.659014,-77528.864398
12160.008398,5181.441594,1776.494261,-77528.864398
12160.010960,5329.482782,-1480.411884,-77222.426198
12160.013521,-1480.411884,1924.535449,-76915.987999
12160.016082,-3108.864956,9474.636058,-76149.892501
12160.018643,4589.276840,1480.411884,-77682.083497
12160.021204,3256.906145,2368.659014,-76915.987999
12160.023765,2812.782580,1924.535449,-77375.645298
12160.026327,6217.729913,-3701.029710,-78141.740796
12160.028888,-3701.029710,-3108.864956,-77835.302597
12160.031449,-3552.988522,592.164754,-76915.987999
12160.034010,1924.535449,148.041188,-79061.055394
12160.036571,8882.471304,3701.029710,-77835.302597
12160.039132,-1924.535449,4885.359217,-77069.207099
12160.041673,4441.235652,888.247130,-79061.055394
12160.044208,1480.411884,-1332.370696,-78294.959896
12160.046743,-3849.070898,-1776.494261,-77375.645298
12160.049278,4885.359217,740.205942,-76609.549800
12160.051814,2960.823768,-1036.288319,-78448.178995
12160.054349,-1924.535449,1184.329507,-76609.549800
12160.056884,1480.411884,6365.771101,-78141.740796
12160.059420,4737.318029,3997.112087,-78141.740796
12160.061955,1332.370696,2516.700203,-77835.302597
12160.064490,9326.594869,592.164754,-77682.083497
12160.067025,6513.812290,-2516.700203,-77069.207099
12160.069561,592.164754,3701.029710,-76915.987999
12160.072096,444.123565,-148.041188,-77835.302597
12160.074631,2516.700203,-1184.329507,-78907.836294
12160.077166,-592.164754,1628.453072,-76915.987999
12160.079702,2664.741391,6217.729913,-76149.892501
12160.082237,7550.100608,1036.288319,-77835.302597
12160.084772,-1036.288319,-1480.411884,-78141.740796
12160.087308,-3404.947333,888.247130,-77375.645298
12160.089843,1036.288319,-2516.700203,-76149.892501
12160.092378,-7550.100608,-2220.617826,-76149.892501
12160.094913,-4885.359217,-3256.906145,-77682.083497
12160.097449,5477.523971,-7402.059420,-77682.083497
12160.099984,4589.276840,-3849.070898,-77375.645298
12160.102519,-7105.977043,1036.288319,-77528.864398
12160.105054,-2072.576638,-4441.235652,-77988.521696
12160.107590,-2072.576638,-3552.988522,-78754.617194
12160.110125,-9326.594869,1036.288319,-78294.959896
12160.112660,148.041188,-5329.482782,-78294.959896
12160.115196,0.000000,-6365.771101,-77528.864398
12160.117731,-5033.400406,-5033.400406,-77222.426198
12160.120266,1480.411884,-5625.565159,-77835.302597
12160.122801,-3108.864956,-2516.700203,-78448.178995
12160.125337,-3108.864956,-1036.288319,-78141.740796
12160.127872,1480.411884,444.123565,-78907.836294
12160.130407,148.041188,-1776.494261,-78754.617194
12160.132942,-4737.318029,-592.164754,-76915.987999
12160.135478,-592.164754,-1480.411884,-78294.959896
12160.138013,740.205942,-6957.935855,-78754.617194
12160.140548,-2516.700203,-148.041188,-78907.836294
12160.143092,1184.329507,3849.070898,-76762.768900
12160.145635,1184.329507,-1628.453072,-75537.016103
12160.148178,2664.741391,-3997.112087,-78294.959896
12160.150721,-6513.812290,-740.205942,-78141.740796
12160.153265,888.247130,-5329.482782,-78601.398095
12160.155808,-3256.906145,-7994.224174,-77528.864398
12160.158351,-8734.430116,-3701.029710,-78601.398095
