#time,accel_x,accel_y,accel_z
269.206748,-1776.494261,296.082377,-78294.959896
269.209249,-5921.647536,-1480.411884,-77375.645298
269.211749,12287.418637,2072.576638,-77069.207099
269.214249,9178.553681,-5181.441594,-78601.398095
269.216750,7698.141797,1184.329507,-76456.330700
269.219250,3849.070898,148.041188,-78448.178995
269.221750,2368.659014,-4737.318029,-79520.712692
269.224251,-4737.318029,2368.659014,-75077.358804
269.226751,5477.523971,0.000000,-77222.426198
269.229251,6217.729913,-5033.400406,-79214.274493
269.231752,5625.565159,148.041188,-74311.263306
269.234302,3997.112087,296.082377,-77682.083497
269.236852,6217.729913,-3404.947333,-78448.178995
269.239402,-5625.565159,0.000000,-78294.959896
269.241952,-8586.388927,1628.453072,-75077.358804
269.244502,-6365.771101,-4293.194464,-78141.740796
269.247052,-10066.800811,-1184.329507,-76149.892501
269.249602,296.082377,3701.029710,-77988.521696
269.252152,5773.606348,-5477.523971,-78448.178995
269.254701,0.000000,-4145.153275,-78294.959896
269.257251,-10807.006753,2664.741391,-75843.454302
269.259801,-1036.288319,-1184.329507,-77835.302597
269.262351,-11991.336260,-4589.276840,-78601.398095
269.264901,-3552.988522,4441.235652,-76303.111601
269.267451,4737.318029,-3552.988522,-78907.836294
269.270001,3108.864956,-2220.617826,-77069.207099
269.272551,-7994.224174,2960.823768,-78294.959896
269.275101,-2516.700203,1776.494261,-76303.111601
269.277651,1332.370696,-3701.029710,-79673.931792
269.280201,-3108.864956,1480.411884,-78754.617194
269.282751,740.205942,592.164754,-76609.549800
269.285301,2516.700203,-4293.194464,-77222.426198
269.287851,-3849.070898,-296.082377,-77682.083497
269.290401,-2812.782580,2368.659014,-78294.959896
269.292951,-5773.606348,-4441.235652,-79367.493593
269.295501,-13027.624579,740.205942,-75383.797003
269.298051,-5773.606348,3552.988522,-76762.768900
269.300601,2960.823768,-3849.070898,-77528.864398
269.303151,-2960.823768,-1036.288319,-75383.797003
269.305701,-3404.947333,0.000000,-79061.055394
