#time,accel_x,accel_y,accel_z
248.628085,-592.164754,-2664.741391,-78448.178995
248.630669,592.164754,-2072.576638,-78294.959896
248.633253,-592.164754,-1628.453072,-79980.369991
248.635836,-592.164754,-1036.288319,-79673.931792
248.638420,-592.164754,-2664.741391,-78448.178995
248.641004,-296.082377,-2072.576638,-78448.178995
248.643587,-296.082377,-2368.659014,-79980.369991
248.646171,-296.082377,-1480.411884,-78907.836294
248.648755,444.123565,-1628.453072,-78907.836294
248.651338,592.164754,-2368.659014,-79061.055394
248.653922,0.000000,-2516.700203,-79367.493593
248.656505,-740.205942,-1184.329507,-78754.617194
248.659089,-592.164754,-1184.329507,-79214.274493
248.661673,-1480.411884,-7402.059420,-79367.493593
248.664256,-148.041188,-1036.288319,-77069.207099
248.666840,-740.205942,-4293.194464,-79367.493593
248.669424,-592.164754,-5477.523971,-79061.055394
248.672007,-888.247130,-7254.018232,-76609.549800
248.674591,-1184.329507,-11695.253884,-77988.521696
248.677175,-1036.288319,-8882.471304,-80440.027290
248.679758,-592.164754,-5181.441594,-80286.808190
248.682342,148.041188,-1924.535449,-78294.959896
248.684925,148.041188,-2516.700203,-77682.083497
248.687509,444.123565,-888.247130,-78601.398095
248.690093,-1776.494261,-3849.070898,-79367.493593
248.692688,-296.082377,-4737.318029,-78448.178995
248.695283,0.000000,-5329.482782,-78754.617194
248.697878,-444.123565,0.000000,-79520.712692
248.700473,-1332.370696,3404.947333,-79520.712692
248.703068,-444.123565,5329.482782,-78907.836294
248.705663,-148.041188,5625.565159,-77835.302597
248.708258,-1184.329507,3256.906145,-78448.178995
248.710853,-592.164754,888.247130,-79061.055394
248.713449,-740.205942,-2812.782580,-79673.931792
248.716044,-444.123565,-1924.535449,-78294.959896
248.718639,-1036.288319,-740.205942,-79980.369991
248.721234,444.123565,1480.411884,-79673.931792
248.723829,-592.164754,8142.265362,-76149.892501
248.726424,148.041188,-1776.494261,-80286.808190
248.729019,-444.123565,-2072.576638,-80286.808190
248.731614,-592.164754,-2664.741391,-78141.740796
248.734209,-1184.329507,-4293.194464,-78141.740796
248.736804,-592.164754,8734.430116,-77682.083497
248.739399,-296.082377,-1184.329507,-79673.931792
248.741994,592.164754,3404.947333,-78294.959896
248.744590,444.123565,-3256.906145,-79673.931792
248.747185,-1776.494261,4885.359217,-80286.808190
248.749780,-296.082377,3849.070898,-79827.150892
248.752375,0.000000,4737.318029,-77835.302597
248.754970,-148.041188,296.082377,-79367.493593
248.757565,-888.247130,1036.288319,-79827.150892
248.760160,-1184.329507,-5033.400406,-79061.055394
248.762755,-444.123565,-3256.906145,-78601.398095
248.765350,1480.411884,-2664.741391,-78294.959896
248.767945,-1332.370696,3108.864956,-78601.398095
248.770540,-444.123565,7846.182985,-78907.836294
248.773136,-148.041188,4589.276840,-78907.836294
248.775731,888.247130,-592.164754,-79673.931792
248.778326,-148.041188,2664.741391,-78754.617194
248.780921,0.000000,-4589.276840,-79520.712692
248.783516,-1332.370696,-9030.512492,-78294.959896
248.786111,-592.164754,-12287.418637,-78907.836294
248.788706,-296.082377,-8290.306550,-78294.959896
248.791301,0.000000,-9178.553681,-78448.178995
248.793896,296.082377,-1184.329507,-78141.740796
248.796453,-1184.329507,-888.247130,-79061.055394
248.799050,-296.082377,-148.041188,-79061.055394
248.801647,0.000000,-3404.947333,-78907.836294
248.804244,1480.411884,-5773.606348,-78448.178995
248.806842,-1184.329507,-8438.347739,-78601.398095
248.809439,-592.164754,-9918.759623,-78601.398095
248.812036,-1036.288319,-3404.947333,-77835.302597
248.814633,444.123565,-2960.823768,-78601.398095
248.817231,-592.164754,-1184.329507,-78601.398095
248.819828,1184.329507,-4441.235652,-80440.027290
248.822425,-2072.576638,-3108.864956,-77528.864398
248.825022,740.205942,-9326.594869,-78907.836294
248.827620,-888.247130,4589.276840,-79061.055394
248.830217,0.000000,-17468.860231,-80746.465489
248.832814,-148.041188,6513.812290,-76915.987999
248.835411,740.205942,-14804.118840,-78754.617194
248.838009,-1184.329507,-3404.947333,-81972.218286
248.840606,888.247130,-4737.318029,-79061.055394
248.843203,0.000000,-7254.018232,-75843.454302
248.845800,148.041188,-7846.182985,-79367.493593
248.848398,-2220.617826,-6365.771101,-80899.684589
248.850995,592.164754,-7698.141797,-80286.808190
248.853592,-888.247130,-5625.565159,-78294.959896
248.856190,148.041188,-1776.494261,-77528.864398
248.858787,-148.041188,-2812.782580,-79827.150892
248.861384,-1184.329507,444.123565,-77835.302597
248.863981,1036.288319,-7846.182985,-78294.959896
248.866579,-1480.411884,-5625.565159,-78754.617194
248.869176,888.247130,-9918.759623,-80440.027290
248.871773,-888.247130,-3701.029710,-78141.740796
248.874370,296.082377,-6957.935855,-80133.589091
248.876968,-1184.329507,-2960.823768,-78601.398095
248.879565,-1332.370696,-2368.659014,-79673.931792
248.882162,-148.041188,5773.606348,-78294.959896
248.884759,740.205942,2664.741391,-78294.959896
248.887357,-296.082377,3701.029710,-78448.178995
248.889954,-888.247130,444.123565,-79827.150892
248.892551,-1332.370696,5329.482782,-78601.398095
248.895148,-1332.370696,444.123565,-79061.055394
248.897746,-740.205942,-740.205942,-77682.083497
248.900223,148.041188,296.082377,-79061.055394
248.902700,-148.041188,2072.576638,-79367.493593
248.905177,-296.082377,-1184.329507,-79061.055394
248.907654,-1480.411884,-444.123565,-79367.493593
248.910131,-444.123565,296.082377,-78754.617194
248.912609,148.041188,5329.482782,-77375.645298
248.915086,-740.205942,1628.453072,-79520.712692
248.917563,0.000000,2220.617826,-77069.207099
248.920040,-1184.329507,-1628.453072,-78907.836294
248.922517,148.041188,-5773.606348,-78601.398095
248.924994,-592.164754,2812.782580,-79214.274493
248.927471,-592.164754,-1480.411884,-77682.083497
248.929949,-740.205942,-3404.947333,-80440.027290
248.932426,-1480.411884,-5181.441594,-79214.274493
248.934903,-1036.288319,4293.194464,-79520.712692
248.937380,740.205942,2220.617826,-77528.864398
248.939857,592.164754,3256.906145,-76149.892501
248.942334,-1480.411884,5477.523971,-77375.645298
248.944812,-1036.288319,2368.659014,-80133.589091
248.947289,-592.164754,2812.782580,-80286.808190
248.949766,444.123565,1480.411884,-77682.083497
248.952243,-592.164754,-740.205942,-78754.617194
248.954720,148.041188,-1480.411884,-78294.959896
248.957197,-1628.453072,-1628.453072,-80133.589091
248.959675,-740.205942,1332.370696,-78448.178995
248.962152,1332.370696,3108.864956,-79367.493593
248.964629,-148.041188,4441.235652,-79367.493593
248.967106,-592.164754,4441.235652,-79520.712692
248.969583,296.082377,-1184.329507,-79061.055394
248.972060,-148.041188,444.123565,-78141.740796
248.974537,-148.041188,-2664.741391,-79061.055394
248.977015,-1184.329507,-7550.100608,-79061.055394
248.979492,-592.164754,-11399.171507,-79214.274493
248.981969,-444.123565,-8586.388927,-77835.302597
248.984446,740.205942,-11547.212695,-79673.931792
248.986923,-1480.411884,-2960.823768,-78448.178995
248.989400,-1332.370696,-1480.411884,-79827.150892
248.991878,-888.247130,2220.617826,-78294.959896
248.994355,740.205942,-2960.823768,-79367.493593
248.996832,444.123565,-3701.029710,-79214.274493
248.999346,-1184.329507,-8882.471304,-79367.493593
249.001861,-1628.453072,-8142.265362,-79367.493593
249.004376,-148.041188,-6957.935855,-77988.521696
249.006890,444.123565,-6513.812290,-79367.493593
249.009405,-1184.329507,-4737.318029,-79061.055394
249.011919,-1036.288319,-1776.494261,-80746.465489
249.014434,0.000000,-1776.494261,-77835.302597
249.016948,1184.329507,5625.565159,-76149.892501
249.019463,-888.247130,888.247130,-77069.207099
249.021977,-148.041188,-10214.842000,-77988.521696
249.024492,592.164754,2220.617826,-77835.302597
249.027006,740.205942,-8142.265362,-79827.150892
249.029521,-444.123565,-4737.318029,-82431.875585
249.032035,-444.123565,-7550.100608,-77682.083497
249.034550,-888.247130,-4589.276840,-76915.987999
249.037065,-1036.288319,-6513.812290,-79214.274493
249.039579,0.000000,-6513.812290,-78294.959896
249.042094,-592.164754,-2516.700203,-78294.959896
249.044608,-444.123565,-6809.894666,-79980.369991
249.047123,-592.164754,-2516.700203,-77988.521696
